Evaluation_Dimension,Performance_Metric,Formula_or_Definition,Academic_Target_Benchmark,Deterministic_Baseline_M1,Probabilistic_ML_M3,Dynamic_Hybrid_M5,Plain_English_Meaning,Operational_Significance
Overall 2025 Holdout Fit,Test R2 (Coefficient of Determination),1 - (SS_res / SS_tot),> 0.600,0.5293 (+9.2% over old M1),0.5880 (+5.9% over M1),0.6270 (CHAMPION),Percentage of hourly passenger crowd swings successfully predicted on unobserved 2025 data,Rebuilding M1 with a 2-hr shift makes it a strong baseline (52.9%). M5 is the only model surpassing 60% capturing 62.7% of all demand variance.
Overall 2025 Holdout Fit,Test RMSE (Root Mean Squared Error),sqrt(mean((y - y_hat)^2)),< 1200 pax/hr,1265.4 pax/hr,1192.9 pax/hr,1135.0 pax/hr (LOWEST),Average passenger forecasting error with extra penalty for catastrophic mispredictions,M5 slashes large prediction errors by 130.4 pax/hr compared to M1 preventing severe understaffing during major departure banks.
Overall 2025 Holdout Fit,Test MAE (Mean Absolute Error),mean(|y - y_hat|),< 850 pax/hr,902.1 pax/hr,855.1 pax/hr,795.0 pax/hr (LOWEST),Average number of passengers the model prediction is off by in any typical operating hour,M5 is the only model achieving sub-800 passenger accuracy missing actual hourly counts by just 795 passengers across entire terminal complexes.
Overall 2025 Holdout Fit,Test MASE (Mean Absolute Scaled Error),MAE_model / MAE_naive_persistence,< 1.000 (Ideal < 0.850),0.942 (Beats naive),0.910 (Superior),0.846 (CHAMPION),Compares model error to a simple guess of yesterday at this hour. Below 1.0 means smarter than daily persistence,Old M1 failed (MASE = 1.109). Rebuilt M1 passes (0.942). M5 achieves the academic stretch target (0.846) proving genuine predictive intelligence.
Overall 2025 Holdout Fit,Mean Bias,mean(y_hat - y),~ 0 pax/hr,-184.2 pax/hr,-295.3 pax/hr,-402.9 pax/hr,Measures whether the model systematically over-predicts (positive) or under-predicts (negative) volume,All models exhibit negative bias during extreme surges due to natural smoothing; however rebuilt M1 cut under-prediction bias by 44%.
Dimension 1: Robustness,RMSE_routine (Nominal: Delay < 15m; 0 Cancels),sqrt(mean((y - y_hat)^2 | routine)),< 1150 pax/hr,1265.4 pax/hr,1167.9 pax/hr,1114.7 pax/hr (SUPERIOR),Average error penalty during calm normal travel days without weather ground stops,Confirms Hypothesis 1: Under nominal conditions ML and Hybrid models provide a much tighter fit to daily diurnal rhythms than fixed static schedules.
Dimension 1: Robustness,MASE_routine (Relative Error in Routine Hours),MAE_routine / MAE_naive_routine,< 0.900,0.942,0.890,0.834 (SUPERIOR),How much smarter the model is compared to naive persistence during normal undisrupted days,M5 delivers an 11.5% accuracy advantage over the rebuilt deterministic baseline under regular scheduled flight operations.
Dimension 1: Robustness,Diebold-Mariano (DM) Statistic & p-value,DM Test comparing loss differentials vs M1,p < 0.001,Baseline Control,DM = 74.25 (p < 0.0001),DM = 79.12 (p < 0.0001),Formal statistical test proving whether error reductions are statistically significant or random luck,Extreme significance (p < 0.0001) proves that machine learning and hybrid improvements over deterministic planning are mathematically genuine.
Dimension 2: Resilience,RMSE_shock (Shock: Delay >= 45m or Cancels >= 5),sqrt(mean((y - y_hat)^2 | shock)),< 1100 pax/hr,1228.9 pax/hr,1024.9 pax/hr,1023.2 pax/hr,Forecast error during severe weather storms and airport ground stops,Both M3 and M5 maintain tight absolute error bounds during storms by utilizing prior-hour delay indicators.
Dimension 2: Resilience,MASE_shock (Relative Error in Shock Hours),MAE_shock / MAE_naive_shock,< 0.850,0.966,0.772,0.737,Scaled error during acute disruptions relative to naive persistence,Confirms that during chaotic delay cascades dynamic models perform 26% better than naive guessing.
Dimension 2: Resilience,Resilience Error Multiplier (R_MASE),MASE_shock / MASE_routine,< 1.30 (Fragile >= 2.0),1.03 (Static blind),0.87 (Acute surge: 2.14),0.88 (Maintains <= 1.28 in acute shocks),Measures how severely model accuracy degrades when hit by disruption. Resilient stays near 1.0; fragile spikes >= 2.0,Pure ML models are fragile during flight holds (R = 2.14) because delayed flights vanish from schedules. Hybrid model stays resilient (R <= 1.28) via queue feedback.
Dimension 2: Resilience,Time-to-Recovery (TTR_shock),Kaplan-Meier survival time to +/- 2 sigma error band,< 4.0 hours,8.4 hours,6.7 hours,3.2 hours (FASTEST),How many hours it takes a model to return to normal error bounds (+/- 2 sigma) after a major operational shock,Confirms Hypothesis 2: M5 recovers 5.2 hours faster than M1 and 3.5 hours faster than M3 because Kalman/queue feedback immediately senses delayed passenger backlog.
Dimension 3: Generalizability,Zero-Shot Transfer RMSE_transfer,sqrt(mean((y - y_hat_zero_shot)^2)),< 1350 pax/hr,1321.0 pax/hr,1162.8 pax/hr,1237.4 pax/hr,Forecast error when taking a model trained at Airport A (EWR) and running at Airport B (LGA) with zero re-training,Shows out-of-the-box accuracy when deploying a model to a brand new airport facility.
