dimension_type,category_id,category_name,definition_threshold,sample_share_pct,mean_daily_tsa_passengers,tsa_volume_share_pct,mean_scheduled_flights,mean_cancellation_rate_pct,mean_depdel15_pct,mean_dep_delay_minutes,mean_taxi_out_minutes,key_operational_behavior
Operational Regime,1_OFF_PEAK,Off-Peak (System Lull),TSA < Q1 (< 787 pax/hr) or Sched Flights < Q1 (< 240/day),21.89,24600.0,3.8,292.96,0.57,10.49,3.19,16.32,Smooth flow; ample runway capacity; 50% of flights push back early; cancellations rare.
Operational Regime,2_MID_PEAK,Mid-Peak (Nominal Baseline),TSA Q1-Q3 (788-3479 pax/hr) or Sched Flights Q1-Q3,44.21,52800.0,52.6,429.62,0.69,17.88,9.28,18.53,Nominal operations; steady passenger flows; manageable tarmac queues; balanced carrier banks.
Operational Regime,3_PEAK,Peak (System Saturation),TSA Q3-P95 (3480-5330 pax/hr) or Sched Flights >= Q3,21.98,76500.0,33.2,511.31,0.7,19.66,10.59,19.48,+74.5% flight volume growth vs off-peak; delays rise by only 7.4 min; airlines absorb volume smoothly.
Operational Regime,4_EVENT_SHOCK,Event / Severe Shock,Cancel Rate >= 5.0% OR Mean Dep Delay >= 30.0 min (or TSA > P95),11.93,94200.0,10.4,406.28,13.75,34.36,30.96,22.28,Non-linear phase transition; cancellations jump 20-fold; departure delays triple; ground delay programs.
Day of Week Cycle,DOW_0,Sunday,Weekly cyclical cadence,14.28,1376037.9,15.43,423.83,2.35,20.55,12.73,18.72,Weekly leisure return peak; highest passenger screening volume and highest weekly flight delays.
Day of Week Cycle,DOW_1,Monday,Weekly cyclical cadence,14.28,1340193.0,15.03,432.75,2.25,19.34,11.65,18.71,Corporate business outbound rush; highest scheduled flight departures of the week.
Day of Week Cycle,DOW_2,Tuesday,Weekly cyclical cadence,14.28,1155281.0,12.95,403.57,2.03,16.09,8.3,18.37,Midweek operational reset; lowest passenger volumes and lowest flight delays of the week.
Day of Week Cycle,DOW_3,Wednesday,Weekly cyclical cadence,14.28,1206569.0,13.53,408.32,2.18,16.55,8.79,18.74,Steady midweek baseline; consistent flight operations and moderate terminal queues.
Day of Week Cycle,DOW_4,Thursday,Weekly cyclical cadence,14.28,1349248.4,15.05,429.64,2.39,19.37,11.62,19.23,Corporate return & long-weekend departures; highest tarmac taxi-out duration of the week.
Day of Week Cycle,DOW_5,Friday,Weekly cyclical cadence,14.28,1338541.6,14.93,432.59,2.28,20.24,12.15,19.08,Combined corporate and weekend getaway peak; elevated delay frequencies across hub network.
Day of Week Cycle,DOW_6,Saturday,Weekly cyclical cadence,14.28,1172926.0,13.08,373.53,2.11,18.18,10.46,18.07,Operational volume trough (-14% flights vs Mon/Fri); airline fleet and crew reset window.
Annual Calendar Month,M_01,January (Winter Trough),Winter seasonal lull,8.33,1104414.7,6.0,399.16,2.65,17.93,10.24,19.39,Annual passenger volume trough; winter blizzards and deicing queues produce long taxi times.
Annual Calendar Month,M_02,February (Winter Trough),Winter seasonal lull,8.33,1156950.0,5.74,407.5,2.32,17.7,9.9,19.45,Lowest monthly passenger share of the year (5.74%); highest average taxi-out duration (19.45 min).
Annual Calendar Month,M_03,March (Spring Shoulder),Spring break ramp-up,8.33,1282109.3,6.96,433.71,3.56,17.56,9.33,18.47,Spring break leisure departure volume surge; highest scheduled flight departures (433.7/day).
Annual Calendar Month,M_04,April (Spring Shoulder),Shoulder transition,8.33,1287086.1,6.76,401.98,6.47,16.94,9.05,17.89,Stable spring operations; cancellation rate is distorted by the April 2020 COVID-19 collapse.
Annual Calendar Month,M_05,May (Spring Shoulder),Memorial Day kickoff,8.33,1267976.0,9.18,393.97,1.55,18.42,10.74,18.12,Memorial Day summer kickoff; smooth passenger processing and low cancellation rates (1.55%).
Annual Calendar Month,M_06,June (Summer Peak),Summer vacation surge,8.33,1392185.6,9.76,413.55,1.85,23.38,15.7,18.75,Heavy summer vacation loads; afternoon convective squall lines trigger severe departure delays.
Annual Calendar Month,M_07,July (Summer Peak),Annual network peak,8.33,1393058.7,10.09,429.28,2.22,24.66,17.58,19.08,Annual national delay and passenger volume peak; 10.09% of all passenger volume; 17.58 min delay.
Annual Calendar Month,M_08,August (Summer Peak),Late summer leisure,8.33,1325850.7,9.6,429.62,1.86,20.97,13.24,18.88,High passenger volumes taper in late August; afternoon thunderstorms continue to cause delay spikes.
Annual Calendar Month,M_09,September (Autumn Shoulder),Post-Labor Day reset,8.33,1255021.2,8.79,415.52,1.1,14.73,7.13,18.37,Post-Labor Day demand drop; benign weather shoulder leads to sharp reduction in flight delays.
