month_number,month_name,meteorological_season,sample_size_airport_days,mean_scheduled_flights,mean_cancel_rate_pct,mean_depdel15_rate_pct,mean_dep_delay_minutes,std_dev_dep_delay_minutes,mean_taxi_out_minutes,mean_arr_delay_minutes,operational_driving_dynamics
1,January,Winter,5425,399.16,2.65,17.93,10.24,15.01,19.39,4.24,"Winter blizzards, sub-zero deicing holds, and arctic ground delays; longest taxi-out queues of year"
2,February,Winter,4950,407.5,2.3199999999999998,17.7,9.9,13.88,19.45,3.9,Cold weather operations; high taxi-out times and winter storm cancellations; annual demand trough
3,March,Spring,5425,433.71,3.56,17.559999999999999,9.33,12.16,18.47,3.33,Spring Break travel surge; sharp increase in flight frequency and passenger terminal loads
4,April,Spring,5250,401.98,6.47,16.940000000000001,9.0500000000000007,13.12,17.89,3.05,Shoulder transition; elevated cancellation rate heavily driven by COVID April 2020 purge
5,May,Spring,5425,393.97,1.55,18.420000000000002,10.74,13.66,18.12,4.74,Memorial Day holiday ramp-up; stable spring baseline leading into summer schedules
6,June,Summer,5250,413.55,1.85,23.38,15.7,14.94,18.75,9.6999999999999993,Convective summer storm squall lines; escalating departure delays and arrival holds
7,July,Summer,5425,429.28,2.2200000000000002,24.66,17.579999999999998,16.29,19.079999999999998,11.58,Annual peak in network congestion; highest departure delay minutes and highest DepDel15 rate
8,August,Summer,5425,429.62,1.86,20.97,13.24,13.35,18.88,7.24,High leisure travel volume compounded by afternoon convective thunderstorms across East and South
9,September,Autumn,5250,415.52,1.1000000000000001,14.73,7.13,10.36,18.37,1.1299999999999999,Post-Labor Day business transition; sharp reduction in delay minutes and cancellations
10,October,Autumn,5425,423.59,0.76,15.05,7.03,8.52,18.32,1.03,Annual optimal on-time performance sweet spot; lowest cancellation rate and lowest delay variance
11,November,Autumn,5250,418.36,0.8,14.7,6.83,9.7200000000000006,18.53,0.83,Thanksgiving holiday volume rush executed under historically stable late-autumn weather
12,December,Winter,5425,411.39,1.59,21.08,12.76,14.71,19.23,6.76,Severe winter holiday passenger travel surge complicated by arctic cold fronts and blizzards
