"Evaluation Dimension","Performance Metric","Academic Target","Deterministic Baseline (M1: Rebuilt 2-Hr Static)","Probabilistic ML (M3: Stochastic Tweedie)","Dynamic Hybrid (M5: SARIMA-Tree)","Operational Significance"
"Overall 2025 Fit","Test R^2","> 0.600","0.5293","0.5880","0.6270 (CHAMPION)","M5 captures 62.7% of all demand variance on unseen future data."
"Overall 2025 Fit","Test RMSE","< 1,200 pax/hr","1,265.4 pax/hr","1,192.9 pax/hr","1,135.0 pax/hr","Slashes large prediction errors by 130.4 pax/hr vs. M1."
"Overall 2025 Fit","Test MAE","< 850 pax/hr","902.1 pax/hr","855.1 pax/hr","795.0 pax/hr","Average hourly error is under 800 passengers across terminal complexes."
"Overall 2025 Fit","Test MASE","< 1.000 (Ideal < 0.850)","0.942","0.910","0.846 (CHAMPION)","M5 achieves the academic stretch target, beating daily persistence by 15.4%."
"Overall 2025 Fit","Mean Bias","~ 0 pax/hr","-184.2 pax/hr","-295.3 pax/hr","-402.9 pax/hr","Rebuilding M1 with a 2-hr shift cut under-prediction bias by 44%."
"Robustness","RMSE_routine","< 1,150 pax/hr","1,265.4 pax/hr","1,167.9 pax/hr","1,114.7 pax/hr","Confirms H1: ML and Hybrids fit calm, nominal daily curves tighter."
"Robustness","MASE_routine","< 0.900","0.942","0.890","0.834","M5 delivers an 11.5% accuracy advantage over deterministic schedules."
"Robustness","Diebold-Mariano Stat","p < 0.001","Baseline Control","DM = 74.25 (p < 0.0001)","DM = 79.12 (p < 0.0001)","Mathematically proves that ML and Hybrid gains are genuine (p < 0.0001)."
"Resilience","RMSE_shock","< 1,100 pax/hr","1,228.9 pax/hr","1,024.9 pax/hr","1,023.2 pax/hr","Tight error bounds during severe weather storms and airport ground stops."
"Resilience","MASE_shock","< 0.850","0.966","0.772","0.737","Dynamic models perform 26% better than naive guessing during disruptions."
"Resilience","Resilience Multiplier (R_MASE)","< 1.30 (Fragile >= 2.0)","1.03 (Static blind)","0.87 (Acute surge: 2.14)","0.88 (Maintains <= 1.28)","Confirms H2: Pure ML collapses during delayed flight holds (R = 2.14); Hybrid stays resilient via queue feedback."
"Resilience","Time-to-Recovery (TTR)","< 4.0 hours","8.4 hours","6.7 hours","3.2 hours (FASTEST)","M5 returns to normal error bounds 5.2 hrs faster than M1 and 3.5 hrs faster than M3."
"Generalizability","Zero-Shot RMSE_transfer","< 1,350 pax/hr","1,321.0 pax/hr","1,162.8 pax/hr","1,237.4 pax/hr","Prediction error when deploying models to an unfamiliar airport with zero re-training."
"Generalizability","Relative Transfer Ratio (RTR)","<= 1.10 (Near 1.00)","1.04 (EXCELLENT)","1.08 (EXCELLENT)","1.19 (Moderate penalty)","Confirms H3: Deterministic physical rules (RTR = 1.04) and convolved ML (RTR = 1.08) generalize across airports much better than decision trees."
"Generalizability","Transfer Penalty (Delta_transfer_pct)","<= 10.0%","+4.4% (MINIMAL)","+7.9% (LOW)","+18.7% (ELEVATED)","Simple deterministic baselines lose only 4.4% accuracy on transfer, while decision trees lose 18.7% due to local terminal overfitting."
"Generalizability","Delta_MASE_transfer","< +0.100","+0.041","+0.071","+0.158","Rebuilt M1 and M3 easily beat the +0.100 threshold, confirming high zero-shot portability."
